date,ECO,PSE,OIL,INTEREST,SNP,GREENUTIL,CONVERSION,CLEANFUEL,STORAGE,DELIVERY,HARVEST
18-Feb-04,166.44,745.28,35.45,0.92,1151.82,18.93999958,18.09877899,49.88999939,19.56312344,18.31535484,7.247685207
25-Feb-04,158.94,721.11,35.68,0.94,1143.67,18.17500043,16.67432307,49.40000153,19.08262302,17.80283146,7.302129595
3-Mar-04,163.05,729.39,36.1,0.95,1151.04,18.37000036,17.09435616,49.25999832,19.97729596,17.64042003,7.45185196
10-Mar-04,157.63,704.44,36.1,0.94,1123.89,17.89999962,16.33379329,47.65000153,19.18159009,16.55477753,7.259074017
17-Mar-04,157.83,705.94,38.18,0.92,1123.75,17.97000003,16.62547649,47.93999863,18.38593445,16.72227941,8.333426273
24-Mar-04,150.66,685.44,37.01,0.92,1091.33,17.00000048,15.77136115,48.04000092,17.78325228,16.05062974,8.251203564
31-Mar-04,160.14,714.26,35.76,0.93,1126.21,17.28499985,16.82179294,50.11999893,19.40677984,16.83230539,9.078889043
7-Apr-04,167.28,734.3,36.15,0.93,1140.53,17.16999984,17.53820773,51.41999817,19.87132206,17.32167388,9.94222203
14-Apr-04,167.48,730.24,36.72,0.94,1128.17,16.50500035,18.20345022,51.81000137,19.23472688,16.93904677,9.776388723
21-Apr-04,170.32,718.02,35.73,0.98,1124.09,16.90000033,18.29369966,52.09000015,18.95196227,16.81095723,9.727129404
28-Apr-04,165.15,709.06,37.46,0.96,1122.41,17.25499964,17.26652799,50.95000076,18.30314944,16.1557286,9.124240894
5-May-04,160.02,699.81,39.57,0.97,1121.53,16.33000016,16.77206244,49.5,18.31611588,16.03420769,9.015176301
12-May-04,153.53,690.82,40.77,1.02,1097.28,15.27999962,15.87370619,49.00999832,16.98457953,15.88148525,8.873518324
19-May-04,150.77,682.81,41.5,1.02,1088.68,14.81499958,15.44897457,48.15000153,17.20226271,15.61052641,8.587685155
26-May-04,158.84,706.94,40.7,1.06,1114.94,14.93999958,16.37845295,49.86000061,17.40319015,16.52850282,9.461018761
2-Jun-04,161.03,712.04,39.96,1.15,1124.99,14.90499962,16.24726536,49.45000076,17.74559956,16.41026609,9.338148163
